"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
465,0,406,4,65,1,0,0,1,338,2006,1523,7,"Joe kicked you the soccer ball",483,0,Grupo B,Grupo B,Grupo B
466,0,406,4,66,1,0,0,1,490,1952,1473,10,"Your dad poured you some water",479,0,Grupo B,Grupo B,Grupo B
469,0,406,4,69,0,0,0,1,2677,177,1002,11,"Heather slipped you a note",-825,1,Grupo B,Grupo B,Grupo B
471,0,406,4,71,0,1,0,1,468,1894,1579,37,"You offered Chris some writing tips",315,0,Grupo B,Grupo B,Grupo B
474,0,406,4,74,1,1,0,1,486,1949,1321,24,"You drove the car to Amber",628,1,Grupo B,Grupo B,Grupo B
475,0,406,4,75,1,0,0,1,1152,2316,1460,3,"Mark dealt the cards to you",856,0,Grupo B,Grupo B,Grupo B
479,0,406,4,79,1,1,0,1,315,1784,1293,29,"You hit Paul the baseball",491,1,Grupo B,Grupo B,Grupo B
480,0,406,4,80,1,0,0,1,352,2403,1347,9,"Mike rolled you the marble",1056,0,Grupo B,Grupo B,Grupo B
488,0,407,1,8,0,1,0,1,2533,2885,1620,28,"You shot Shawn the rubber band",1265,0,Grupo A,Grupo A,Grupo B
491,0,407,1,11,0,0,0,1,463,2474,1534,2,"Helen awarded a medal to you",940,1,Grupo A,Grupo A,Grupo B
493,0,407,1,13,0,0,0,1,239,2278,1559,8,"Courtney handed you the notebook",719,1,Grupo A,Grupo A,Grupo B
494,0,407,1,14,1,0,0,1,380,1678,1698,15,"Jesse gave you another chance",-20,0,Grupo A,Grupo A,Grupo B
497,0,407,1,17,0,1,0,1,228,2244,1637,22,"You donated money to Vincent",607,0,Grupo A,Grupo A,Grupo B
498,0,407,1,18,0,0,0,1,30,2471,1489,3,"Jack kicked the football to you",982,1,Grupo A,Grupo A,Grupo B
499,0,407,1,19,1,1,0,1,307,1865,1310,39,"You told Liz the story",555,1,Grupo A,Grupo A,Grupo B
500,0,407,1,20,1,1,0,1,575,1989,1724,37,"Ian received the complaint from you",265,1,Grupo A,Grupo A,Grupo B
505,0,407,1,25,0,1,0,1,278,1900,1186,26,"You threw Diane the pen",714,0,Grupo A,Grupo A,Grupo B
506,0,407,1,26,0,0,0,1,284,2031,1503,1,"Andy delivered the pizza to you",528,1,Grupo A,Grupo A,Grupo B
507,0,407,1,27,0,1,0,1,362,2022,1567,25,"You handed the puppy to Katie",455,0,Grupo A,Grupo A,Grupo B
508,0,407,1,28,1,1,0,1,397,2320,2065,34,"You radioed the message to the policeman",255,1,Grupo A,Grupo A,Grupo B
512,0,407,1,32,1,1,0,1,306,2469,1371,32,"You sold the land to Mike",1098,1,Grupo A,Grupo A,Grupo B
513,0,407,1,33,1,0,0,1,300,2349,1746,12,"Tiana devoted her time to you",603,0,Grupo A,Grupo A,Grupo B
