"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
265,0,"Grupo A",404,1,25,0,1,0,1,57,2007,1364,29,"You rolled Mike the marble","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",643,NA,"","",0,NA,NA,NA
266,0,"Grupo A",404,1,26,0,1,0,1,105,2055,1634,24,"You entrusted the key to Jeff","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",421,NA,"","",0,NA,NA,NA
267,0,"Grupo A",404,1,27,0,1,0,1,124,2075,1645,27,"You kicked Joe the soccer ball","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",430,NA,"","",0,NA,NA,NA
271,0,"Grupo A",404,1,31,0,1,0,1,38,2206,1637,22,"You donated money to Vincent","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",569,NA,"","",0,NA,NA,NA
273,0,"Grupo A",404,1,33,1,1,0,1,146,1677,1270,38,"You paid Amanda tribute","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",407,NA,"","",1,NA,NA,NA
275,0,"Grupo A",404,1,35,1,0,0,1,282,2284,1746,12,"Tiana devoted her time to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",538,NA,"","",0,NA,NA,NA
276,0,"Grupo A",404,1,36,1,1,0,1,175,2047,1724,37,"Ian received the complaint from you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",323,NA,"","",1,NA,NA,NA
279,0,"Grupo A",404,1,39,0,0,0,1,164,2595,1489,3,"Jack kicked the football to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",1106,NA,"","",1,NA,NA,NA
282,0,"Grupo A",404,1,42,0,1,0,1,82,1855,1427,30,"You poured your dad some water","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",428,NA,"","",0,NA,NA,NA
284,0,"Grupo A",404,1,44,1,0,0,1,167,2824,1472,20,"Andy pitched you the idea","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",1352,NA,"","",0,NA,NA,NA
285,0,"Grupo A",404,1,45,0,1,0,1,62,2554,1620,28,"You shot Shawn the rubber band","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",934,NA,"","",0,NA,NA,NA
286,0,"Grupo A",404,1,46,1,1,0,1,113,2375,2065,34,"You radioed the message to the policeman","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",310,NA,"","",1,NA,NA,NA
